id;nome;tipo_conta;usuario
1;Industrial;CARTAO_CREDITO;capacitor archive
2;sky blue Tasty Plastic Pizza;CARTAO_CREDITO;compelling mission-critical
3;bifurcated scalable;CARTAO_CREDITO;deliverables reinvent 24 hour
4;overriding;CARTAO_CREDITO;world-class Frozen IB
5;Highway Ergonomic;CARTAO_CREDITO;New York tangible Mississippi
6;Frozen bus;CARTAO_CREDITO;Poland
7;Small partnerships;CARTAO_CREDITO;Harbor Montana
8;Corporate Phased relationships;CARTAO_CREDITO;Salad Web virtual
9;Refined Squares;CARTAO_CREDITO;EXE projection Fresh
10;support Gorgeous;CARTAO_CREDITO;copying
